parent_sku,child_sku,attribute_set,price,qty,visibility,status,material,style,room,color_family,fabric,images
DRX-HL-SOFA-HEL,DRX-HL-SOFA-HEL-GRY-LIN,furniture,899.00,15,1,1,fabric,scandinavian,living,grey,linen,sofa-helsinki-grey-linen-001.jpg
DRX-HL-SOFA-HEL,DRX-HL-SOFA-HEL-NVY-VEL,furniture,999.00,12,1,1,fabric,scandinavian,living,navy,velvet,sofa-helsinki-navy-velvet-001.jpg
DRX-HL-SOFA-HEL,DRX-HL-SOFA-HEL-FOR-LIN,furniture,899.00,8,1,1,fabric,scandinavian,living,forest,linen,sofa-helsinki-forest-linen-001.jpg
DRX-HL-SOFA-HEL,DRX-HL-SOFA-HEL-BEI-BOU,furniture,949.00,10,1,1,fabric,scandinavian,living,beige,boucle,sofa-helsinki-beige-boucle-001.jpg
DRX-HL-SOFA-OSL,DRX-HL-SOFA-OSL-GRY,furniture,1199.00,8,1,1,fabric,modern,living,grey,,sofa-oslo-grey-001.jpg
DRX-HL-SOFA-OSL,DRX-HL-SOFA-OSL-BEI,furniture,1199.00,7,1,1,fabric,modern,living,beige,,sofa-oslo-beige-001.jpg
DRX-HL-SOFA-OSL,DRX-HL-SOFA-OSL-NVY,furniture,1249.00,6,1,1,fabric,modern,living,navy,,sofa-oslo-navy-001.jpg
DRX-HL-LC-AAR,DRX-HL-LC-AAR-LIN,furniture,449.00,20,1,1,fabric,scandinavian,living,,linen,lounge-aarhus-linen-001.jpg
DRX-HL-LC-AAR,DRX-HL-LC-AAR-VEL,furniture,499.00,15,1,1,fabric,scandinavian,living,,velvet,lounge-aarhus-velvet-001.jpg
DRX-HL-LC-AAR,DRX-HL-LC-AAR-LEA,furniture,599.00,10,1,1,leather,scandinavian,living,,leather,lounge-aarhus-leather-001.jpg
DRX-HL-DC-CHA,DRX-HL-DC-CHA-WHT,furniture,119.00,80,1,1,wood,modern,dining,white,,dining-chair-charlottenborg-white-001.jpg
DRX-HL-DC-CHA,DRX-HL-DC-CHA-BLK,furniture,119.00,75,1,1,wood,modern,dining,black,,dining-chair-charlottenborg-black-001.jpg
DRX-HL-DC-CHA,DRX-HL-DC-CHA-GRY,furniture,129.00,60,1,1,wood,modern,dining,grey,,dining-chair-charlottenborg-grey-001.jpg
DRX-HL-WA-PRT,DRX-HL-WA-PRT-SCA,decor,89.00,40,1,1,wood,scandinavian,living,,,wall-art-scandinavian-001.jpg
DRX-HL-WA-PRT,DRX-HL-WA-PRT-MID,decor,89.00,35,1,1,wood,mid-century,living,,,wall-art-midcentury-001.jpg
DRX-HL-WA-PRT,DRX-HL-WA-PRT-BOH,decor,89.00,30,1,1,wood,bohemian,living,,,wall-art-bohemian-001.jpg
DRX-HL-OUT-GAR,DRX-HL-OUT-GAR-GRY,furniture,599.00,15,1,1,metal,modern,outdoor,grey,,outdoor-garden-grey-001.jpg
DRX-HL-OUT-GAR,DRX-HL-OUT-GAR-BLK,furniture,599.00,12,1,1,metal,modern,outdoor,black,,outdoor-garden-black-001.jpg
